<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-abrev">abrev</span></div><br><div class="mot">the Prime Minister (PM)</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-abrev">abrev</span></div><br><div class="mot">le Premier ministre</div>;ANGLAIS::niveau::A2 ANGLAIS::type::abrev ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Cabinet</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le Cabinet</div><br><div class="note">-- Note --<br><br>Le conseil des ministres restreint</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Lord Chancellor</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le ministre de la Justice</div><br><div class="note">-- Note --<br><br>Spécifique au système britannique</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Lord Chancellor’s Office</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le ministère de la Justice</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Chancellor of the Exchequer</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le chancelier de l’Échiquier</div><br><div class="note">-- Note --<br><br>Équivalent britannique du ministre des Finances</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Treasury</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le Trésor</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Foreign Office</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le ministère des Affaires étrangères</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈfɒrən] pour Foreign</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Department of Health</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le ministère de la Santé</div><br><div class="note">-- Note --<br><br>Prononciation : [helθ]</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Home Secretary</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le ministre de l’Intérieur</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈsəkrətri] pour Secretary</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Home Office</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le ministère de l’Intérieur</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">the Shadow Cabinet</div>;<div class="theme">Thème : Politics > Executive-Power > Governments > The-British-Government</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le Cabinet fantôme</div><br><div class="note">-- Note --<br><br>"a shadow" signifie une ombre (Cabinet formé par l'opposition)</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Politics::Executive-Power::Governments::The-British-Government
