<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-notion">notion</span></div><br><div class="mot">Funds for Research</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-notion">notion</span></div><br><div class="mot">Le financement de la recherche</div>;ANGLAIS::niveau::B2 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">credits</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les crédits</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a subsidy</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une subvention</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a donation</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un don</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a donor</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un donateur</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">investement</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les investissements</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">public / private funding</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les financements public / privé</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a sponsoring</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le parrainage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a sponsor</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un parrain, un mécène</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">cuts, cutbacks</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les réductions (de)</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a tight budget</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > Funds-for-Research</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un budget restreint</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::Funds-for-Research
