<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">notion</span></div><br><div class="mot">The Way to Discoveries</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">notion</span></div><br><div class="mot">La voie des découvertes</div>;ANGLAIS::niveau::B1 ANGLAIS::type::notion ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a phenomenon</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un phénomène</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">several phenomena</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">plusieurs phénomènes</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">observation</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">l’observation</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">description</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la description</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">an intuition</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une intuition</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">methodology</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">la méthodologie</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a proof / piece of evidence</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une preuve</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">evidence</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">des preuves</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a stroke of genius</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un trait de génie</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">a stroke of inspiration</div>;<div class="theme">Thème : Sciences-Tech--Health > Scientific-Research > The-Way-to-Discoveries</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une trouvaille</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Sciences-Tech--Health::Scientific-Research::The-Way-to-Discoveries
