<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une recherche d’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une recherche d’emploi</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un demandeur d’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un demandeur d’emploi</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les annonces classées</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les annonces classées</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le profil d’un poste</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le profil d’un poste</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un intitulé de poste</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un intitulé de poste</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un poste vacant</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un poste vacant</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une opportunité d’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une opportunité d’emploi</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une candidature</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une candidature</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un postulant, un candidat</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un postulant, un candidat</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une lettre de candidature</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une lettre de candidature</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un formulaire de candidature</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un formulaire de candidature</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un CV (Curriculum Vitae)</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un CV (Curriculum Vitae)</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une lettre de recommandation</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une lettre de recommandation</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">des références</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">des références</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les compétences, les qualifications</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les compétences, les qualifications</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un travailleur (non) qualifié</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un travailleur (non) qualifié</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">l’expérience professionnelle</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">l’expérience professionnelle</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une agence pour l'emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une agence pour l'emploi</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les agences pour l’emploi</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les agences pour l’emploi</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">un bureau de placement</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">un bureau de placement</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une agence de placement</div>;<div class="theme">Thème : Work > The-job-market > Employment > Recruitment</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une agence de placement</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Employment::Recruitment
