<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le chômage</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le chômage des jeunes</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le chômage des jeunes</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le chômage de courte/longue durée</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le chômage de courte/longue durée</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les chômeurs</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les chômeurs</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">le taux de chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">le taux de chômage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une indemnité de licenciement</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une indemnité de licenciement</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une prime de licenciement</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈsevərəns]</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une prime de licenciement</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈsevərəns]</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une prime de départ</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une prime de départ</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">l’assurance chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">l’assurance chômage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">une caisse d’assurance-chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">une caisse d’assurance-chômage</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type">noun</span></div><br><div class="mot">les indemnités chômage</div>;<div class="theme">Thème : Work > The-job-market > Unemployment > Being-Out-of-Work</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type">noun</span></div><br><div class="mot">les indemnités chômage</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::PREPA::Work::The-job-market::Unemployment::Being-Out-of-Work
