<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">pay, salary</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">la paie, le salaire</div>;ANGLAIS::niveau::A2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a payslip, a paysheet</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un bulletin de salaire</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">payday</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le jour de paie</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">backpay</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un rappel de salaire</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">holiday with pay, paid vacation (US)</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">les congés payés</div><br><div class="note">-- Note --<br><br>Prononciation : [ˈhɒlədeɪ]</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a leave on full pay</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un congé rémunéré</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a leave without pay</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">un congé sans solde</div>;ANGLAIS::niveau::C1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a salary scale</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une grille/échelle de salaires</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a fee / fees</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">des honoraires</div><br><div class="note">-- Note --<br><br>S'utilise pour les professions libérales (avocats, médecins)</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">a commission</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">une commission</div>;ANGLAIS::niveau::B2 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇬🇧</span><span class="type type-noun">noun</span></div><br><div class="mot">wages</div>;<div class="theme">Thème : Work > Working-conditions > Pay</div><div class="en-tete"><span class="drapeau">🇫🇷</span><span class="type type-noun">noun</span></div><br><div class="mot">le salaire, la paie</div><br><div class="note">-- Note --<br><br>Souvent utilisé pour les salaires payés à la semaine ou à l'heure (ouvriers)</div>;ANGLAIS::niveau::B1 ANGLAIS::type::noun ANGLAIS::Work::Working-conditions::Pay
